Year,publicType,goalStatus(%)
2010,Achieved,43
2011,Achieved,40
2012,Achieved,47
2013,Achieved,54
2014,Achieved,44
2015,Achieved,56
2016,Achieved,48
2017,Achieved,36
2018,Achieved,45
2019,Achieved,53
2010,Failed To Achieve,57
2011,Failed To Achieve,60
2012,Failed To Achieve,53
2013,Failed To Achieve,46
2014,Failed To Achieve,56
2015,Failed To Achieve,44
2016,Failed To Achieve,52
2017,Failed To Achieve,64
2018,Failed To Achieve,55
2019,Failed To Achieve,47
